date,volume,close,high,open,low
2017-12-20,1429035.0,1073.56,1081.23,1080.92,1068.6
2017-12-21,1211012.0,1070.85,1077.52,1075.39,1069.0
2017-12-22,860800.0,1068.86,1071.72,1070.0,1067.64
2017-12-26,914574.0,1065.85,1068.86,1068.64,1058.64
2017-12-27,1027634.0,1060.2,1068.27,1066.6,1058.38
2017-12-28,982285.0,1055.95,1064.84,1062.25,1053.38
2017-12-29,420299.0,1055.22,1056.97,1055.49,1052.7
